case_id,reference_url,report_date,state,title,summary,amount_lost,scam_category,case_status,confidence_score,state
#0013,https://www.thestar.com.my/news/nation/2023/10/06/three-victims-cheated-of-rm14mil-in-scams-say-johor-cops,10/6/2023,Johor Baru,"Three victims cheated of RM1.4mil in scams, say Johor cops",The Johor police received three reports involving scams with losses amounting to RM1.4mil.,1400000,Phishing,scam,1,Johor Baru
#0014,https://www.thestar.com.my/news/nation/2023/12/22/college-student-lost-almost-rm15000-in-part-time-job-scam,12/22/2023,Johor Baru,"College student lost almost RM15,000 in part-time job scam","A 19-year-old college student from Kuala Lumpur has lost almost RM15,000 after falling prey to a part-time job scam she found on social media.",15000,Employment Scam,scam,1,Johor Baru
#0015,https://www.thestar.com.my/news/nation/2023/12/30/clerk-in-sibu-loses-rm240000-in-investment-scam,12/30/2023,Sibu,"Clerk in Sibu loses RM240,000 in investment scam","A clerk at a company here lost RM240,000 after falling prey to an online investment scam.",240000,Investment Scam,scam,1,Sibu
#0016,https://www.thestar.com.my/news/nation/2023/08/14/lecturer-loses-over-rm500000-to-phone-scam,8/14/2023,Ipoh,"Lecturer loses over RM500,000 to phone scam","A lecturer in Tanjung Malim lost over half a million ringgit after falling victim to a phone scam, says Muallim OCPD Supt Mohd Hasni Mohd Nasir.",500000,Phishing,scam,1,Ipoh
#0017,https://www.thestar.com.my/news/nation/2023/11/28/16-fined-rm3000-each-over-job-scam,11/28/2023,Melaka,"16 fined RM3,000 each over job scam","Three foreigners were among 16 individuals slapped with fines totalling RM48,000 by a Magistrate's Court here for deceiving UK residents through a nonexistent job scam.",3000,Employment Scam,scam,1,Melaka
#0018,https://www.thestar.com.my/news/nation/2023/11/29/manager-duped-of-over-rm600000-in-part-time-job-scam,11/29/2023,Johor Baru,"Manager duped of over RM600,000 in part-time job scam","A store manager here lost more than RM600,000 after falling prey to a part-time job scam that promised big commissions.",600000,Employment Scam,scam,1,Johor Baru
#0019,https://www.thestar.com.my/news/nation/2023/12/05/alor-gajah-army-pensioner-loses-rm125000-in-phone-scam,12/5/2023,Alor Gajah,"Alor Gajah army pensioner loses RM125,000 in phone scam","An army pensioner lost RM125,000 of his retirement savings after falling prey to phone scam syndicate members posing as a representatives of Pos Malaysia and the police.",125000,Phishing,scam,1,Alor Gajah
#0020,https://www.thestar.com.my/news/nation/2023/12/05/married-couple-loses-over-rm16mil-to-investment-scam,12/5/2023,Jasin,Married couple loses over RM1.6mil to investment scam,"A married couple, both of whom are directors of a woodcarving company, lost over RM1.6mil after falling prey to an investment scam on Facebook.",1600000,Investment Scam,scam,1,Jasin
#0021,https://www.thestar.com.my/news/nation/2023/12/07/retired-teacher-in-seremban-cheated-out-of-rm480000-in-phone-scam,12/7/2023,Seremban,"Retired teacher in Seremban cheated out of RM480,000 in phone scam","A retired teacher has been cheated out of RM480,000 in a phone scam here.",480000,Phishing,scam,1,Seremban
#0022,https://www.thestar.com.my/news/nation/2023/12/11/three-company-directors-arrested-in-connection-with-rm39mil-investment-scam,12/11/2023,Kuala Lumpur,Three company directors arrested in connection with RM3.9mil investment scam,Three company directors have been detained in connection with an investment scam resulting in RM3.9mil in losses.,3900000,Investment Scam,scam,1,Kuala Lumpur
#0023,https://www.thestar.com.my/news/nation/2023/04/18/supervisor-loses-over-rm92000-in-job-scam,4/18/2023,Johor Baru,"Supervisor loses over RM92,000 in job scam","A supervisor with a private company was cheated of RM92,220 in a job scam here.",92000,Employment Scam,scam,1,Johor Baru
#0024,https://www.thestar.com.my/news/nation/2023/07/31/teacher-and-manager-lose-rm360000-to-fake-job-scams,7/31/2023,Johor Baru,"Teacher and manager lose RM360,000 to fake job scams","A teacher, who wanted to earn extra money for her family, lost RM110,000 in savings to a fake job scam.",360000,Employment Scam,scam,1,Johor Baru
#0025,https://www.thestar.com.my/news/nation/2023/11/20/company-director-loses-over-rm23mil-in-investment-scam,11/20/2023,Shah Alam,Company director loses over RM2.3mil in investment scam, A company director lost over RM2.3 million after being duped in an investment scam.,2300000,Investment Scam,scam,1,Shah Alam
#0026,https://www.thestar.com.my/news/nation/2023/11/22/company-manager-loses-nearly-rm600000-to-investment-scam,11/22/2023,Petaling Jaya,"Company manager loses nearly RM600,000 to investment scam","A 39-year-old private company manager lost almost RM600,000 after being duped in an investment scam.",600000,Investment Scam,scam,1,Petaling Jaya
#0027,https://www.thestar.com.my/news/nation/2023/07/10/bukit-aman-bank-negara-block-rm283mil-transaction-in-compromised-email-scam,7/10/2023,Kuala Lumpur,"Bukit Aman, Bank Negara block RM28.3mil transaction in compromised email scam",Bukit Aman managed to track down and block some RM28.3mil in funds transferred in a business email compromise (BEC) scam.,2830000,Phishing,scam,1,Kuala Lumpur
#0028,https://www.thestar.com.my/news/nation/2023/07/12/cops-say-investigation-papers-opened-into-job-scams-involving-rm123mil-in-losses,7/12/2023,Kuala Lumpur,Cops say investigation papers opened into job scams involving RM1.23mil in losses,A total of 104 investigation papers have been opened in connection with a part-time job scam syndicate involving losses of over RM1.23mil from January to June.,1230000,Employment Scam,scam,1,Kuala Lumpur
#0029,https://www.thestar.com.my/news/nation/2023/07/14/cops-launch-nationwide-probe-into-rm42mil-investment-scam,7/14/2023,Seremban,Cops launch nationwide probe into RM4.2mil investment scam,"Police probing a scam of non-existent share investment have opened 25 investigation papers nationwide involving losses amounting to RM4.2mil, says Deputy Comm Datuk Ahmad Dzaffir Mohd Yussof.",4200000,Investment Scam,scam,1,Seremban
#0030,https://www.thestar.com.my/news/nation/2023/10/06/cops-investigate-three-scam-reports-involving-over-rm1mil-losses,10/6/2023,Johor Bahru,Cops investigate three scam reports involving over RM1mil losses,Police received three reports related to an investment fraud and phone scam involving losses totalling over RM1.41mil on Wednesday (Oct 4) and Thursday (Oct 5).,1410000,Investment Scam,scam,1,Johor Bahru
#0031,https://www.thestar.com.my/news/nation/2023/10/07/retired-bodyguard-loses-over-rm700000-in-crypto-scam,10/7/2023,Ipoh,"Retired security guard loses over RM700,000 in crypto scam","A 67-year-old retiree in Tanjung Malim has lost over RM700,000 in a cryptocurrency investment scam.",700000,Investment Scam,scam,1,Ipoh
#0032,https://www.thestar.com.my/news/nation/2023/10/18/nurse-lost-rm125-000-in-love-scam,10/18/2023,Alor Gajah,"Nurse loses RM125, 000 in love scam","A 30-year-old nurse at a public hospital became RM125,000 poorer after falling for a love scam.",125000,Love/Relationship Scam,scam,1,Alor Gajah
#0033,https://www.thestar.com.my/news/nation/2023/05/18/man-loses-rm58800-to-investment-scam-on-chat-app,5/18/2023,Kuala Lumpur,"Man loses RM58,800 to investment scam on chat app","A man was duped of RM58,800 in an investment scam via a chat application.",58800,Investment Scam,scam,1,Kuala Lumpur
#0034,https://www.thestar.com.my/news/nation/2023/05/19/two-sibu-housewives-duped-of-rm20000-in-phone-scam,5/19/2023,Sibu,"Two Sibu housewives duped of RM20,000 in phone scam","Two housewives here have been duped of a total of RM20,600 by an individual impersonating a police officer in a phone scam.",20000,Phishing,scam,1,Sibu
#0035,https://www.thestar.com.my/news/nation/2023/06/06/bank-employee-duped-out-of-rm53700-in-online-job-scam,6/6/2023,Kuala Lumpur,"Bank employee duped out of RM53,700 in online job scam","A 41-year-old bank employee lost RM53,700 after he was duped by a job scam syndicate.",53700,Employment Scam,scam,1,Kuala Lumpur
#0036,https://www.thestar.com.my/news/nation/2023/09/12/retiree-in-kerian-cheated-of-rm485000-in-parcel-scam,9/12/2023,Ipoh,"Retiree in Kerian cheated of RM485,000 in parcel scam","A 72-year-old retiree in Kerian lost RM485,000 after falling victim to a parcel scam.",485000,Phishing,scam,1,Ipoh
#0037,https://www.thestar.com.my/news/nation/2023/09/12/woman-falls-prey-to-phone-scam-loses-over-rm470000,9/12/2023,Ipoh,"Woman falls prey to phone scam, loses over RM470,000","A 55-year-old woman from Bercham here lost over RM470,000 after falling victim to a phone scam.",470000,Phishing,scam,1,Ipoh
#0038,https://www.thestar.com.my/news/nation/2023/09/13/cheated-of-rm14mil-in-parcel-scam-woman-only-realises-she-was-a-victim-three-years-later,9/13/2023,Ipoh,"Cheated of RM1.4mil in parcel scam, woman only realises she was a victim three years later",A 62-year-old woman from Taman Wah Keong here has lost about RM1.4mil after falling victim to a phone scam.,1400000,Online Scam,scam,1,Ipoh
#0039,https://www.thestar.com.my/news/nation/2023/09/15/retiree-loses-rm3839mil-in-phone-scam,9/15/2023,Shah Alam,Retiree loses RM3.839mil in phone scam,A retired private sector employee in Subang Jaya suffered a loss of RM3.839mil after falling victim to a 'phone scam'.,3839000,Phishing,scam,1,Shah Alam
#0040,https://www.thestar.com.my/news/nation/2023/09/20/woman-lost-rm11mil-to-an-online-part-time-job-scam,9/20/2023,Ampang,Woman lost RM1.1mil to an online part-time job scam,A company manager lost RM1.1mil to a scam syndicate that offered a part-time job on social media.,1100000,Employment Scam,scam,1,Ampang
#0041,https://www.thestar.com.my/news/nation/2023/09/21/rm118880-lost-after-trader-falls-for-phone-scam,9/21/2023,Ipoh,"RM118,880 lost after trader falls for phone scam","A trader from Teluk Intan was instructed to contact a “police sergeant” several times a day as part of an elaborate phone scam to cheat her of about RM118,880.",118880,Phishing,scam,1,Ipoh
#0042,https://www.thestar.com.my/news/nation/2023/04/23/online-scam-syndicates-paying-rm500-each-for-mule-accounts,4/23/2023,Putrajaya,Online scam syndicates paying RM500 each for mule accounts,"More than 25,000 online cheating cases were recorded last year involving losses of approximately RM850mil, says National Anti-Financial Crime Centre (NFCC) director-general Datuk Seri Mustafar Ali.",500,Online Scam,scam,1,Putrajaya
#0043,https://www.thestar.com.my/news/nation/2023/08/18/housewife-falls-for-phone-scam-again-this-time-losing-rm98000,8/18/2023,Ipoh,"Housewife falls for phone scam again, this time losing RM98,000","Despite losing about RM30,000 to a phone scam about three years ago, a housewife in Hilir Perak fell victim to a similar scam again.",98000,Phishing,scam,1,Ipoh
#0044,https://www.thestar.com.my/news/nation/2023/08/28/teacher-loses-rm38000-in-munchkin-cat-purchase-scam,8/28/2023,Melaka,"Teacher loses RM38,000 in Munchkin cat purchase scam","A 39-year-old teacher's bid to own a Munchkin breed cat caused her to become RM38,000 poorer after falling prey to an online scam.",38000,Online Scam,scam,1,Melaka
#0045,https://www.thestar.com.my/news/nation/2023/09/03/vegetable-farmer-loses-over-rm100000-to-investment-scam,9/3/2023,Kuantan,"Vegetable farmer loses over RM100,000 to investment scam","A vegetable farmer's wish for a quick profit turned into a disaster when he lost RM108,344 after an investment scheme he joined turned out to be nonexistent.",100000,Investment Scam,scam,1,Kuantan
#0046,https://www.thestar.com.my/news/nation/2023/12/29/retiree-loses-rm730000-to-investment-scam,12/29/2023,Kuantan,"Retiree loses RM730,000 to investment scam","A 65-year-old retiree lost a total of RM730,000 after being duped into investing in a non-existent online investment scheme.",730000,Investment Scam,scam,1,Kuantan
#0047,https://www.thestar.com.my/news/nation/2023/03/28/ipt-employee-loses-rm500000-to-online-love-scam,3/28/2023,Petaling Jaya,"IPT employee loses RM500,000 to online love scam","A female staff member at a higher learning institution (IPT) in Kuala Terengganu was cheated out of RM500,000 in an online love scam.",500000,Love/Relationship Scam,scam,1,Petaling Jaya
#0048,https://www.thestar.com.my/news/nation/2023/04/04/melaka-teacher-loses-rm78000-in-online-scam,4/4/2023,Melaka,"Melaka teacher loses RM78,000 in online scam","A young teacher's hope of earning some supplemental income was dashed after she was duped of RM78,000 in an online scam offering part-time jobs.",78000,Other,scam,1,Melaka
#0049,https://www.thestar.com.my/news/nation/2023/07/17/ipoh-businessman-cheated-of-rm870000-in-crypto-scam,7/17/2023,Ipoh,"Ipoh businessman cheated of RM870,000 in crypto scam","A 54-year-old businessman in Kerian has lost RM870,000 in a cryptocurrency investment scam.",870000,Investment Scam,scam,1,Ipoh
#0050,https://www.thestar.com.my/news/nation/2023/07/18/jb-woman-loses-rm140000-in-love-scam,7/18/2023,Johor Baru,"JB woman loses RM140,000 in love scam","A woman in her 40s here was cheated of more than RM140,000 after falling for a love scam.",140000,Love/Relationship Scam,scam,1,Johor Baru
#0051,https://www.thestar.com.my/news/nation/2023/07/26/kuching-man-duped-of-rm12mil-in-online-job-scam,7/26/2023,Kuching,Kuching man duped of RM1.2mil in online job scam,A private sector worker here has been duped out of RM1.2 mil in an online job scam.,1200000,Employment Scam,scam,1,Kuching
#0052,https://www.thestar.com.my/news/nation/2023/07/31/govt-retiree-loses-nearly-rm550000-to-crypto-investment-scam,7/31/2023,Ipoh,"Govt retiree loses nearly RM550,000 to crypto investment scam","A 70-year-old government retiree in Hutan Melintang has lost RM542,171 in a cryptocurrency investment scam.",550000,Investment Scam,scam,1,Ipoh
#0053,https://www.thestar.com.my/news/nation/2023/07/31/kl-cops-new-investment-scam-behind-rm854mil-in-losses,7/31/2023,Kuala Lumpur,KL cops: New investment scam behind RM8.54mil in losses,A new investment scam has been detected by police here which resulted in over RM8.54mil in losses.,8540000,Investment Scam,scam,1,Kuala Lumpur
#0054,https://www.thestar.com.my/news/nation/2023/08/03/negri-women-lose-rm11mil-in-investment-scams,8/3/2023,Seremban,Negri women lose RM1.1mil in investment scams,"Two women have lost a total of RM1.12mil in investment scams that promised unusually high returns, says Negri Sembilan police chief Deputy Comm Datuk Ahmad Dzaffir Mohd Yusoff.",1100000,Investment Scam,scam,1,Seremban
#0055,https://www.thestar.com.my/news/nation/2023/08/08/woman-loses-more-than-rm100000-to-job-scam-syndicate,8/8/2023,Kuantan,"Woman loses more than RM100,000 to job scam syndicate","A woman lost RM118,767 after being duped by a scam syndicate that offered high-paying part-time jobs online.",100000,Employment Scam,scam,1,Kuantan
#0056,https://www.thestar.com.my/news/nation/2023/06/28/cops-nab-suspect-in-macau-scam-involving-rm432725-loss,6/28/2023,Balik Pulau,"Cops nab suspect in Macau scam involving RM432,725 loss","Police have arrested a man for alleged involvement with a Macau scam syndicate which conned a factory worker here of RM432,725 recently.",432725,Phishing,scam,1,Balik Pulau
#0057,https://www.thestar.com.my/news/nation/2023/07/05/factory-worker-duped-of-rm87000-in-investment-scam,7/5/2023,Iskandar Puteri,"Factory worker duped of RM87,000 in investment scam","A factory worker here has lost RM87,400.90 in an investment scam after joining a WhatsApp group in June last year.",87000,Investment Scam,scam,1,Iskandar Puteri
#0058,https://www.thestar.com.my/news/nation/2023/07/13/cops-initiate-investigations-into-share-investment-scam-involving-rm42mil-losses,7/13/2023,Seremban,Cops initiate investigations into share investment scam involving RM4.2mil losses,"Police probing a share investment scam have opened 25 investigation papers nationwide involving losses amounting to RM4.2mil, says Dep Comm Datuk Ahmad Dzaffir Mohd Yussof.",4200000,Investment Scam,scam,1,Seremban
#0059,https://www.thestar.com.my/news/nation/2023/07/14/taiping-retiree-fleeced-of-over-rm100k-in-phone-scam,7/14/2023,Ipoh,Taiping retiree fleeced of over RM100K in phone scam,"A 67-year-old retiree from Taiping lost more than RM100,000 after she was cheated in a phone scam.",100000,Phishing,scam,1,Ipoh
#0060,https://www.thestar.com.my/news/nation/2023/11/03/cops-nab-40-smash-crypto-scam-syndicate-involving-rm50mil-losses,11/3/2023,Kuala Lumpur,"Cops nab 40, smash crypto scam syndicate involving RM50mil losses","Police have busted a cryptocurrency investment syndicate, involving losses amounting to over RM50mil, with the arrest of 40 individuals.",50000000,Investment Scam,scam,1,Kuala Lumpur
#0061,https://www.thestar.com.my/news/nation/2023/11/08/cross-border-scam-m039sian-in-australia-fleeced-of-rm846500-local-accounts-involved,11/8/2023,Johor Baru,"Cross-border scam: M'sian in Australia fleeced of RM846,500, local accounts involved","A Malaysian residing in Australia has lost RM846,500 in a nonexistent investment scheme.",846500,Investment Scam,scam,1,Johor Baru
#0062,https://www.thestar.com.my/news/nation/2023/05/11/woman-57-loses-rm84600-in-love-scam,5/11/2023,Johor Baru,"Woman, 57, loses RM84,600 in love scam","A 57-year-old woman was cheated of RM84,600 in a love scam here.",84600,Love/Relationship Scam,scam,1,Johor Baru
#0063,https://www.thestar.com.my/news/nation/2023/05/12/ipoh-clerk-loses-almost-rm140000-in-online-job-scam,5/12/2023,Ipoh,"Clerk loses almost RM140,000 in online job scam","A 26-year-old clerk in Langkap, Teluk Intan, has been cheated of about RM139,616 after she was taken in by a job scam.",140000,Employment Scam,scam,1,Ipoh
#0064,https://www.thestar.com.my/news/nation/2023/05/18/alor-gajah-retiree-loses-rm132000-to-investment-scam,5/18/2023,Alor Gajah,"Alor Gajah retiree loses RM132,000 to investment scam","A 57-year-old retiree lost RM132,000 in a cryptocurrency investment scam.",132000,Investment Scam,scam,1,Alor Gajah
#0065,https://www.thestar.com.my/news/nation/2023/05/27/retired-civil-servant-loses-over-rm845000-to-macau-scam,5/27/2023,Ipoh,"Retired civil servant loses over RM845,000 to Macau scam","A retired civil servant here was cheated of about RM845,450 after falling victim to a phone scam.",845000,Phishing,scam,1,Ipoh
#0066,https://www.thestar.com.my/news/nation/2023/05/28/retiree-loses-more-than-rm800000-to-phone-scam,5/28/2023,Ipoh,"Retiree loses more than RM800,000 to phone scam","A retired civil servant has been cheated of RM845,450 after falling victim to a phone scam.",800000,Phishing,scam,1,Ipoh
#0067,https://www.thestar.com.my/news/nation/2023/06/04/housewife-claims-lost-rm110556-to-online-job-scam,6/4/2023,Kuantan,"Housewife claims lost RM110,556 to online job scam","A housewife claims to have lost RM110,556 after being duped by a scam syndicate offering part-time jobs on social media.",110556,Employment Scam,scam,1,Kuantan
#0068,https://www.thestar.com.my/news/nation/2023/06/09/melaka-kindergarten-owner-loses-rm16mil-to-investment-scam,6/9/2023,Melaka,Melaka kindergarten owner loses RM1.6mil to investment scam,"A female owner of a kindergarten from Bukit Piatu here lost RM1.6mil after falling victim to an investment scam. To make matters worse, the 53-year-old victim from Ayer Keroh here also borrowed from her family members to pay the fraudster.",1600000,Investment Scam,scam,1,Melaka
#0069,https://www.thestar.com.my/news/nation/2023/06/10/retiree-loses-rm12mil-in-phone-scam,6/10/2023,Kuching,Retiree loses RM1.2mil in phone scam,A retiree who used to work in the private sector lodged a police report on Friday (June 9) claiming that he suffered a loss of RM1.2mil in a phone scam in April.,1200000,Phishing,scam,1,Kuching
#0070,https://www.thestar.com.my/news/nation/2023/10/12/company-auditor-loses-rm148mil-to-investment-scam,10/12/2023,Nibong Tebal,Company auditor loses RM1.48mil to investment scam,A company auditor lost RM1.48mil after investing in a company stock that does not exist.,1480000,Investment Scam,scam,1,Nibong Tebal
#0071,https://www.thestar.com.my/news/nation/2023/10/19/pahang-govt-contributes-rm25000-to-bring-job-scam-victim039s-body-home,10/19/2023,Kuantan,"Pahang govt contributes RM25,000 to bring job scam victim's body home","The Pahang government has donated RM25,000 to help bring home the remains of an alleged human trafficking victim who died in Myanmar.",25000,Employment Scam,scam,1,Kuantan
#0072,https://www.thestar.com.my/news/nation/2023/09/12/tuition-teacher-in-ipoh-loses-over-rm200000-to-investment-scam,9/12/2023,Batu Pahat,"Tuition teacher in Ipoh loses over RM200,000 to investment scam","A tuition teacher who wanted to buy second-hand books online lost more than RM200,000 in a fake investment scheme.",200000,Investment Scam,scam,1,Batu Pahat
#0073,https://www.thestar.com.my/news/nation/2023/09/18/ipoh-company-director-loses-over-rm300000-in-investment-scam,9/18/2023,Ipoh,"Ipoh company director loses over RM300,000 in investment scam","A 58-year-old company director has lost over RM300,000 to scammers in an investment scheme he found on social media.",300000,Investment Scam,scam,1,Ipoh
#0074,https://www.thestar.com.my/news/nation/2023/09/23/sexagenarian-loses-over-rm289000-in-non-existent-investment-scam,9/23/2023,Batu Pahat,"Sexagenarian loses over RM289,000 in non-existent investment scam","A sexagenarian claimed to have lost RM289,067.58 after being tricked into investing in a non-existent online investment scheme introduced by a woman on social media he befriended last month.",289000,Investment Scam,scam,1,Batu Pahat
#0075,https://www.thestar.com.my/news/nation/2023/03/04/over-300-victims-lose-rm100mil-to-investment-scam-police-reports-lodged-against-firm,3/4/2023,Kuala Lumpur,"Over 300 victims lose RM100mil to investment scam, police reports lodged against firm","An alleged bogus investment firm has left hundreds broke, and victims are now urging prompt actions to be taken.",100000000,Investment Scam,scam,1,Kuala Lumpur
#0076,https://www.thestar.com.my/news/nation/2023/03/06/retiree-and-accountant-duped-of-rm14mil-in-investment-scams,3/6/2023,Seremban,Retiree and accountant duped of RM1.4mil in investment scams,"A 71-year-old retiree and a 49-year-old accountant have been cheated of RM1.4mil in a non-existent investment scheme, says Deputy Comm Datuk Ahmad Dzaffir Mohd Yussof.",1400000,Investment Scam,scam,1,Seremban
#0077,https://www.thestar.com.my/news/nation/2023/03/14/social-media-influencer-loses-over-rm16000-in-online-job-scam,3/14/2023,Sibu,"Social media influencer loses over RM16,000 in online job scam","A 28-year-old social media influencer lost RM16,799 after falling victim to an online job offer scam via Facebook.",16000,Employment Scam,scam,1,Sibu
#0078,https://www.thestar.com.my/news/nation/2023/03/25/factory-supervisor-loses-rm164601-to-love-scam,3/25/2023,Kuantan,"Factory supervisor loses RM164,601 to love scam","A factory supervisor suffered a loss of RM164,601 in an online love scam after befriending a woman via Facebook two years ago.",164601,Love/Relationship Scam,scam,1,Kuantan
#0079,https://www.thestar.com.my/news/nation/2023/04/05/retired-teacher-in-perak-loses-rm585904-to-scam-caller,4/5/2023,Ipoh,"Retired teacher in Perak loses RM585,904 to scam caller","A retired teacher in Hutan Melintang lost RM585,904 after getting a scam phone call about a hospital insurance claim.",585904,Phishing,scam,1,Ipoh
#0080,https://www.thestar.com.my/news/nation/2023/08/04/two-women-lose-a-total-rm112mil-to-investment-scams,8/4/2023,Seremban,Two women lose a total RM1.12mil to investment scams,"Two women lost a total of RM1.12mil in investment schemes which had promised unusually high returns, says state police chief Deputy Comm Datuk Ahmad Dzaffir Mohd Yusoff.",1120000,Investment Scam,scam,1,Seremban
#0081,https://www.thestar.com.my/news/nation/2023/08/24/beautician-loses-rm7000-in-used-car-scam-gets-threats-after-she-stops-paying,8/24/2023,Kuala Lumpur,"Beautician loses RM7,000 in used car scam, gets threats after she stops paying","A ""too good to be true"" deal on a used car ended up being just that after scammers managed to dupe almost RM7,000 from a beautician.",7000,Other,scam,1,Kuala Lumpur
#0082,https://www.thestar.com.my/news/nation/2023/08/29/teacher-loses-rm38k-to-munchkin-cat-scam,8/29/2023,Melaka,Teacher loses RM38k to Munchkin cat scam,"A teacher, who wanted to buy a RM600 Munchkin cat offered on social media, ended up losing almost RM38,000.",38000,Other,scam,1,Melaka
#0083,https://www.thestar.com.my/news/nation/2023/01/20/engineer-loses-rm29mil-to-macau-scam,1/20/2023,Bukit Mertajam,Engineer loses RM2.9mil to Macau scam,An engineer has lost RM2.9mil after falling prey to a Macau scam.,2900000,Phishing,scam,1,Bukit Mertajam
#0084,https://www.thestar.com.my/news/nation/2023/01/21/engineer-loses-almost-rm3mil-to-macau-scam,1/21/2023,Bukit Mertajam,Engineer loses almost RM3mil to Macau scam,An engineer has lost RM2.9mil after falling prey to a Macau scam.,3000000,Phishing,scam,1,Bukit Mertajam
#0085,https://www.thestar.com.my/news/2023/01/21/assistant-officer-cheated-of-rm215100-in-macau-scam,1/21/2023,Kuantan,"Assistant officer cheated of RM215,100 in Macau scam","An assistant Agriculture officer has lost RM215,100 after being duped by Macau Scam syndicate members posing as insurance and police officers.",215100,Phishing,scam,1,Kuantan
#0086,https://www.thestar.com.my/news/nation/2023/02/04/doctor-loses-rm94000-in-love-scam,2/4/2023,Kuala Lumpur,"Doctor loses RM94,000 in love scam","A doctor lost RM94,000 in a love scam after getting acquainted with a foreign man through social media.",94000,Love/Relationship Scam,scam,1,Kuala Lumpur
#0087,https://www.thestar.com.my/news/2023/02/06/kuantan-woman-says-lost-rm53875-to-online-job-scam,2/6/2023,Kuantan,"Kuantan woman says lost RM53,875 to online job scam","A woman’s hopes to increase her income through part-time work were dashed after she ended up losing RM53,875 to an online job scam.",53875,Employment Scam,scam,1,Kuantan
#0088,https://www.thestar.com.my/news/nation/2023/02/07/woman-loses-rm53875-to-an-online-job-scam,2/7/2023,Kuantan,"Woman loses RM53,875 to an online job scam","She thought it wouldn’t hurt to boost her income doing part-time work. Instead, a woman ended up losing over RM53,000 to an online job scam.",53875,Employment Scam,scam,1,Kuantan
